,0,1,2,3,4,5,6,7,8
0,AMCR,Time Not Supplied,2020-02-11,TAS,2020-02-11,,,,
1,CTVA,TAS,2020-01-30,Before Market Open,2020-01-30,,,,
2,DIS,Time Not Supplied,2020-02-03,After Market Close,2020-02-03,TAS,2020-02-04,,
3,ETN,Before Market Open,2020-01-29,TAS,2020-02-04,,,,
4,FOXA,TAS,2020-02-04,After Market Close,2020-02-05,,,,
5,INFO,Before Market Open,2020-01-14,TAS,2020-03-24,,,,
6,ISRG,TAS,2020-01-09,TAS,2020-01-23,,,,
7,LEN,TAS,2020-01-08,TAS,2020-03-19,,,,
8,LKQ,TAS,2020-02-20,Before Market Open,2020-02-26,,,,
9,MKC,TAS,2020-01-28,TAS,2020-03-31,,,,
10,MSCI,Before Market Open,2020-01-29,TAS,2020-01-30,,,,
11,PGR,TAS,2020-01-29,TAS,2020-02-19,TAS,2020-03-02,TAS,2020-03-17
12,PNR,Before Market Open,2020-01-27,TAS,2020-01-28,,,,
13,STE,Before Market Open,2020-02-10,TAS,2020-02-10,,,,
14,UNM,TAS,2020-02-04,TAS,2020-02-04,,,,
15,XRX,After Market Close,2020-01-27,Before Market Open,2020-01-28,,,,
